location,coordinates
DHA Phase 1,"33.6938° N, 73.0652° E"
G-15,"33.6326° N, 72.9230° E"
Bahria Town,"33.5421° N, 73.1152° E"
G-12,"33.6595° N, 72.9810° E"
I-8,"33.6689° N, 73.0730° E"
G-9,"33.6914° N, 73.0307° E"
Margalla Hills,"33.7606° N, 73.0245° E"
F-6,"33.7286° N, 73.0735° E"
F-11,"33.6844° N, 72.9895° E"
G-13,"33.6515° N, 72.9621° E"
F-8,"33.7115° N, 73.0396° E"
G-14,"33.6419° N, 72.9475° E"
E-7,"33.7253° N, 73.0454° E"
G-10,"33.6777° N, 73.0187° E"
F-7,"33.7204° N, 73.0561° E"
DHA Phase 2,"33.5273° N, 73.1609° E"
G-6,"33.7154° N, 73.0856° E"
Chaklala,"33.5668° N, 73.1328° E"
G-11,"33.6687° N, 72.9987° E"
F-10,"33.6918° N, 73.0067° E"
Rawalp,"33.1895° N, 73.1797° E"
DHA Phase 3,"33.5301° N, 73.1736° E"
F-5,"33.7322° N, 73.0888° E"
E-11,"33.6972° N, 72.9766° E"
Gulzar-e-Quaid,"33.6500° N, 73.1800° E"
Sadiqabad,"33.6322° N, 73.0856° E"
